,,n/a,ARHGAP22,Arp2_3,CP,Cdc42,Cofilin,Coronin,Cortactin,Dia1,Dia2,Ena_Vasp,IRSp53_Cdc42,IRSp53_Rac1,LIMK,NET1,PAK,PIP2,PKD,Profilin,ROCK,ROS,Rac1,RhoA,SSH,Thymosin,WASP,WAVE
n/a,BR,62,76,0,67,31,52,63,54,60,63,63,63,50,63,62,0,59,65,64,70,64,27,62,64,64,30,44
n/a,ST,75,82,44,87,56,68,71,64,70,47,15,76,68,76,71,58,61,76,0,80,80,38,71,73,81,20,59
ARHGAP22,BR,76,,0,81,55,64,77,61,69,74,74,76,63,77,71,0,69,75,77,75,76,26,70,75,76,47,52
ARHGAP22,ST,82,,35,93,70,75,79,67,77,46,15,83,77,84,80,59,71,83,0,84,85,37,77,78,86,23,60
Arp2_3,BR,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arp2_3,ST,44,35,,61,36,42,46,44,34,43,12,41,42,44,35,60,26,34,0,31,45,47,32,49,73,8,39
CP,BR,67,81,0,,37,54,66,56,59,67,66,65,53,67,61,0,66,71,67,78,69,29,63,64,67,34,46
CP,ST,87,93,61,,74,74,82,76,72,85,75,85,86,88,79,84,82,91,0,94,94,78,81,79,93,42,77
Cdc42,BR,31,55,0,37,,31,35,26,25,31,31,33,31,30,29,0,28,36,35,50,33,0,30,32,33,25,25
Cdc42,ST,56,70,36,74,,49,53,45,46,45,29,58,55,55,47,40,32,62,0,70,65,43,45,54,66,14,44
Cofilin,BR,52,64,0,54,31,,63,26,47,50,51,50,48,51,50,0,46,48,63,60,51,25,50,62,67,23,34
Cofilin,ST,68,75,42,74,49,,69,42,62,61,52,62,60,67,62,54,56,64,0,72,74,49,61,71,88,11,43
Coronin,BR,63,77,0,66,35,63,,65,62,65,65,65,58,66,63,0,62,67,64,73,63,35,65,61,64,48,58
Coronin,ST,71,79,46,82,53,69,,73,69,42,20,73,68,72,63,61,63,74,0,74,78,38,66,70,80,16,50
Cortactin,BR,54,61,0,56,26,26,65,,52,53,54,55,42,56,53,0,55,55,64,58,54,28,51,62,64,13,3
Cortactin,ST,64,67,44,76,45,42,73,,61,39,14,64,60,68,59,61,53,65,0,67,71,35,58,68,79,13,31
Dia1,BR,60,69,0,59,25,47,62,52,,60,57,60,49,57,61,0,58,58,63,63,56,28,63,59,61,23,42
Dia1,ST,70,77,34,72,46,62,69,61,,41,14,71,66,69,70,39,60,72,0,76,70,27,71,67,82,13,53
Dia2,BR,63,74,0,67,31,50,65,53,60,,63,63,52,63,61,0,58,65,64,72,63,28,62,64,66,31,44
Dia2,ST,47,46,43,85,45,61,42,39,41,,9,46,45,46,48,58,5,46,0,49,52,36,44,70,52,16,39
Ena_Vasp,BR,63,74,0,66,31,51,65,54,57,63,,64,49,64,60,0,64,64,64,72,65,29,62,64,66,31,44
Ena_Vasp,ST,15,15,12,75,29,52,20,14,14,9,,16,20,16,6,47,5,13,0,13,21,21,7,65,16,10,16
IRSp53_Cdc42,BR,63,76,0,65,33,50,65,55,60,63,64,,51,62,61,0,62,65,65,74,66,27,61,62,64,29,43
IRSp53_Cdc42,ST,76,83,41,85,58,62,73,64,71,46,16,,70,76,70,62,64,78,0,84,81,37,69,72,81,11,58
IRSp53_Rac1,BR,50,63,0,53,31,48,58,42,49,52,49,51,,53,49,0,47,44,65,58,51,27,48,52,59,26,45
IRSp53_Rac1,ST,68,77,42,86,55,60,68,60,66,45,20,70,,72,64,60,50,66,0,76,72,36,63,63,80,14,61
LIMK,BR,63,77,0,67,30,51,66,56,57,63,64,62,53,,59,0,61,65,64,73,64,29,61,65,68,29,46
LIMK,ST,76,84,44,88,55,67,72,68,69,46,16,76,72,,69,62,62,78,0,82,82,36,71,72,83,22,62
NET1,BR,62,71,0,61,29,50,63,53,61,61,60,61,49,59,,0,61,62,66,66,61,28,62,61,63,27,41
NET1,ST,71,80,35,79,47,62,63,59,70,48,6,70,64,69,,33,54,71,0,76,69,25,72,66,79,11,54
PAK,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
PAK,ST,58,59,60,84,40,54,61,61,39,58,47,62,60,62,33,,39,60,0,63,63,64,32,61,73,20,56
PIP2,BR,59,69,0,66,28,46,62,55,58,58,64,62,47,61,61,0,,61,63,66,56,32,60,60,61,22,43
PIP2,ST,61,71,26,82,32,56,63,53,60,5,5,64,50,62,54,39,,62,0,67,65,8,53,64,61,9,44
PKD,BR,65,75,0,71,36,48,67,55,58,65,64,65,44,65,62,0,61,,66,72,67,19,62,63,68,30,36
PKD,ST,76,83,34,91,62,64,74,65,72,46,13,78,66,78,71,60,62,,0,83,80,37,71,73,81,18,58
Profilin,BR,64,77,0,67,35,63,64,64,63,64,64,65,65,64,66,0,63,66,,75,66,36,65,65,64,50,58
Profilin,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ROCK,BR,70,75,0,78,50,60,73,58,63,72,72,74,58,73,66,0,66,72,75,,77,22,65,72,74,38,48
ROCK,ST,80,84,31,94,70,72,74,67,76,49,13,84,76,82,76,63,67,83,0,,88,39,74,75,84,23,64
ROS,BR,64,76,0,69,33,51,63,54,56,63,65,66,51,64,61,0,56,67,66,77,,29,61,64,67,29,45
ROS,ST,80,85,45,94,65,74,78,71,70,52,21,81,72,82,69,63,65,80,0,88,,37,71,78,85,26,62
Rac1,BR,27,26,0,29,0,25,35,28,28,28,29,27,27,29,28,0,32,19,36,22,29,,26,33,37,0,26
Rac1,ST,38,37,47,78,43,49,38,35,27,36,21,37,36,36,25,64,8,37,0,39,37,,25,37,50,1,36
RhoA,BR,62,70,0,63,30,50,65,51,63,62,62,61,48,61,62,0,60,62,65,65,61,26,,62,65,28,41
RhoA,ST,71,77,32,81,45,61,66,58,71,44,7,69,63,71,72,32,53,71,0,74,71,25,,68,79,12,53
SSH,BR,64,75,0,64,32,62,61,62,59,64,64,62,52,65,61,0,60,63,65,72,64,33,62,,66,41,59
SSH,ST,73,78,49,79,54,71,70,68,67,70,65,72,63,72,66,61,64,73,0,75,78,37,68,,84,21,46
Thymosin,BR,64,76,0,67,33,67,64,64,61,66,66,64,59,68,63,0,61,68,64,74,67,37,65,66,,38,59
Thymosin,ST,81,86,73,93,66,88,80,79,82,52,16,81,80,83,79,73,61,81,0,84,85,50,79,84,,43,78
WASP,BR,30,47,0,34,25,23,48,13,23,31,31,29,26,29,27,0,22,30,50,38,29,0,28,41,38,,10
WASP,ST,20,23,8,42,14,11,16,13,13,16,10,11,14,22,11,20,9,18,0,23,26,1,12,21,43,,0
WAVE,BR,44,52,0,46,25,34,58,3,42,44,44,43,45,46,41,0,43,36,58,48,45,26,41,59,59,10,
