,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
cycle_Actin_BR_norm,0.769203,0.7074,0.7074,0.7074,0.7074,0.7074,0.7074,0.7074,0,0
cycle_Actin_ST_norm,0.818273,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0,0
cycle_Arp2_3_norm,0.769203,0.7074,0.7074,0.7074,0.7074,0.7074,0.7074,0.7074,0,0
cycle_CP_norm,0.4998,0.4998,0.4998,0.4998,0.4998,0,0,0,0,0
cycle_Cdc42_norm,0.4934,0.4934,0.4934,0.4934,0.4934,0,0,0,0,0
cycle_Cofilin_norm,0.61655,0.6127,0.6127,0.489,0.489,0,0,0,0,0
cycle_Coronin_norm,0.8103,0.8103,0.8103,0.8103,0.6548,0.6548,0.6548,0,0,0
cycle_Cortactin_norm,0.822833,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0
cycle_Dia1_norm,0.16019,0.102,0,0,0,0,0,0,0,0
cycle_Dia2_norm,0.954793,0.9153,0.8274,0.8274,0.8274,0.8274,0.8274,0.8274,0.8274,0
cycle_Ena_Vasp_norm,0.872067,0.8388,0.8388,0.8388,0.8388,0.8388,0.8388,0.8388,0.8388,0
cycle_IRSp53_norm,0.819667,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0
cycle_LIMK_norm,0.1897,0.1555,0.1555,0.1555,0,0,0,0,0,0
cycle_PAK_norm,0.819667,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0
cycle_PIP2_norm,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0,0,0,0
cycle_PKD_norm,0,0,0,0,0,0,0,0,0,0
cycle_Profilin_norm,0.832173,0.7746,0.7746,0.7746,0.7746,0.7746,0.7746,0.7746,0,0
cycle_ROCK_norm,0.3068,0.2977,0.2098,0,0,0,0,0,0,0
cycle_ROCK__norm,0.3068,0.2977,0.2098,0,0,0,0,0,0,0
cycle_Rac1_norm,0.683227,0.6469,0.6176,0.6176,0.6176,0.6176,0.6176,0,0,0
cycle_RhoA_norm,0.31994,0.2977,0.2098,0,0,0,0,0,0,0
cycle_SSH_norm,0.8103,0.8103,0.8103,0.8103,0.6548,0.6548,0.6548,0,0,0
cycle_Thymosin_norm,0.2692,0.1728,0.1728,0.1728,0,0,0,0,0,0
cycle_WASP_norm,0.7005,0.7005,0.7005,0.558,0.558,0.558,0,0,0,0
cycle_WAVE_norm,0.683227,0.6469,0.6176,0.6176,0.6176,0.6176,0.6176,0,0,0
