,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
cycle_Actin_BR_norm,0.80129,0.75955,0.6322,0.5158,0.5158,0.5158,0,0,0,0
cycle_Actin_ST_norm,0.18983,0.13405,0.07115,0,0,0,0,0,0,0
cycle_Arp2_3_norm,0.80129,0.75955,0.6322,0.5158,0.5158,0.5158,0,0,0,0
cycle_CP_norm,0.4928,0.4928,0.4928,0.4928,0.4928,0,0,0,0,0
cycle_Cdc42_norm,0.5006,0.5006,0.5006,0.5006,0.5006,0.5006,0,0,0,0
cycle_Cofilin_norm,0.0612,0,0,0,0,0,0,0,0,0
cycle_Coronin_norm,0.16795,0.0582,0.0582,0,0,0,0,0,0,0
cycle_Cortactin_norm,0.9377,0.9172,0.9172,0.7426,0.7426,0.7426,0.7426,0.7426,0,0
cycle_Dia1_norm,0.38473,0.3076,0.2462,0,0,0,0,0,0,0
cycle_Dia2_norm,0.87412,0.815,0.815,0.815,0.815,0.5072,0,0,0,0
cycle_Ena_Vasp_norm,0.9898,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674
cycle_IRSp53_norm,0.5464,0.524,0.524,0.524,0.524,0.524,0,0,0,0
cycle_LIMK_norm,0.83205,0.826,0.826,0.6514,0.6514,0.6514,0.6514,0,0,0
cycle_PAK_norm,0.9898,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674
cycle_PIP2_norm,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072,0,0,0,0
cycle_PKD_norm,0.7264,0.71335,0.592,0.4756,0.4756,0,0,0,0,0
cycle_Profilin_norm,0.19938,0.12615,0.07115,0,0,0,0,0,0,0
cycle_ROCK_norm,0.7264,0.71335,0.592,0.4756,0.4756,0,0,0,0,0
cycle_ROCK__norm,0.7264,0.71335,0.592,0.4756,0.4756,0,0,0,0,0
cycle_Rac1_norm,0.25532,0.15685,0.1164,0,0,0,0,0,0,0
cycle_RhoA_norm,0.75078,0.71735,0.596,0.4756,0.4756,0,0,0,0,0
cycle_SSH_norm,0.16795,0.0582,0.0582,0,0,0,0,0,0,0
cycle_Thymosin_norm,0.9388,0.9386,0.9386,0.9386,0.9386,0.9386,0.9386,0.9386,0.9386,0.9386
cycle_WASP_norm,0,0,0,0,0,0,0,0,0,0
cycle_WAVE_norm,0.25532,0.15685,0.1164,0,0,0,0,0,0,0
