,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
cycle_Actin_BR_norm,0.95755,0.94805,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0
cycle_Actin_ST_norm,0.368133,0.2934,0,0,0,0,0,0,0,0
cycle_Arp2_3_norm,0.95755,0.94805,0.845,0.845,0.845,0.845,0.845,0.845,0.845,0
cycle_CP_norm,0.97385,0.9058,0.9058,0.9058,0.9058,0.9058,0.9058,0.9058,0.9058,0.9058
cycle_Cdc42_norm,0.4976,0.4976,0.4976,0.4976,0.4976,0,0,0,0,0
cycle_Cofilin_norm,0.199183,0.1122,0,0,0,0,0,0,0,0
cycle_Coronin_norm,0.2225,0.1218,0,0,0,0,0,0,0,0
cycle_Cortactin_norm,0.955,0.955,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0
cycle_Dia1_norm,0.0045,0,0,0,0,0,0,0,0,0
cycle_Dia2_norm,0.87675,0.85965,0.85965,0.85965,0.85965,0.537,0,0,0,0
cycle_Ena_Vasp_norm,0,0,0,0,0,0,0,0,0,0
cycle_IRSp53_norm,0.576,0.543,0.543,0.543,0.543,0.543,0,0,0,0
cycle_LIMK_norm,0.7775,0.7742,0.6136,0.6136,0.6136,0.6136,0.6136,0,0,0
cycle_PAK_norm,0.989,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
cycle_PIP2_norm,0.5084,0.5084,0.5084,0.5084,0.5084,0.5084,0,0,0,0
cycle_PKD_norm,0.68455,0.67025,0.4438,0.4438,0.4438,0,0,0,0,0
cycle_Profilin_norm,0.648317,0.5517,0.4918,0.4918,0.4918,0,0,0,0,0
cycle_ROCK_norm,0.68455,0.67025,0.4438,0.4438,0.4438,0,0,0,0,0
cycle_ROCK__norm,0.68455,0.67025,0.4438,0.4438,0.4438,0,0,0,0,0
cycle_Rac1_norm,0.31405,0.20375,0,0,0,0,0,0,0,0
cycle_RhoA_norm,0.69695,0.66665,0.5558,0.4438,0.4438,0,0,0,0,0
cycle_SSH_norm,0.2225,0.1218,0,0,0,0,0,0,0,0
cycle_Thymosin_norm,0.3259,0.3259,0.2055,0.2055,0.2055,0,0,0,0,0
cycle_WASP_norm,0.6741,0.6741,0.6741,0.6741,0.6741,0,0,0,0,0
cycle_WAVE_norm,0.31405,0.20375,0,0,0,0,0,0,0,0
